"pathway_id","pathway_title","term","outcome","rr","rr_low","rr_high","rr_ci","p_value","n_months","data_status"
"P14","Flu co-exposure","cold_days","chd",0.99960101332228,0.990521824995528,1.00876342208759,"1.000 (0.991-1.009)",0.931686051888013,121,"HA_APPROVED_AGGREGATE"
"P14","Flu co-exposure","cold_days","hf",1.01146242851367,0.998781559458272,1.02430429817873,"1.011 (0.999-1.024)",0.0766279060739397,121,"HA_APPROVED_AGGREGATE"
"P14","Flu co-exposure","mean_tmax","chd",0.994161264881703,0.975399350856476,1.0132840663912,"0.994 (0.975-1.013)",0.546898753665994,121,"HA_APPROVED_AGGREGATE"
"P14","Flu co-exposure","mean_tmax","hf",1.00002061769921,0.974076980966393,1.02665523912839,"1.000 (0.974-1.027)",0.998773367550029,121,"HA_APPROVED_AGGREGATE"
"P15","Temperature variability proxy","temp_variability_mean_range","chd",0.991014915040478,0.961014549774966,1.02195181338582,"0.991 (0.961-1.022)",0.564964841797974,132,"HA_APPROVED_AGGREGATE"
"P15","Temperature variability proxy","temp_variability_mean_range","hf",1.02086259166066,0.978153099938048,1.06543692507658,"1.021 (0.978-1.065)",0.343662445563941,132,"HA_APPROVED_AGGREGATE"
"P16","Pre-COVID only (P02)","mean_tmax","chd",0.988958258449294,0.972848776380067,1.00533449874327,"0.989 (0.973-1.005)",0.185149384009949,84,"HA_APPROVED_AGGREGATE"
"P16","Pre-COVID only (P02)","mean_tmax","hf",1.02335752057947,0.978625981578686,1.07013367173959,"1.023 (0.979-1.070)",0.31128923027032,84,"HA_APPROVED_AGGREGATE"
"P16","Pre-COVID only (P02)","mean_tmin","chd",0.992013221137619,0.972261894085347,1.01216579287787,"0.992 (0.972-1.012)",0.434508205567592,84,"HA_APPROVED_AGGREGATE"
"P16","Pre-COVID only (P02)","mean_tmin","hf",0.923360173038772,0.881674343757019,0.967016920920133,"0.923 (0.882-0.967)",0.00071703065043084,84,"HA_APPROVED_AGGREGATE"
"P18","Cold-month indicator (p05 Tmean)","cold_days","chd",0.993741552485027,0.982900656160035,1.00470201840476,"0.994 (0.983-1.005)",0.261949314644005,132,"HA_APPROVED_AGGREGATE"
"P18","Cold-month indicator (p05 Tmean)","cold_days","hf",1.02048610565247,1.00456090958723,1.03666376213828,"1.020 (1.005-1.037)",0.011502125897927,132,"HA_APPROVED_AGGREGATE"
"P18","Cold-month indicator (p05 Tmean)","cold_month_mean_temp_le_p05","chd",1.0680918725315,0.943771062334618,1.20878917959805,"1.068 (0.944-1.209)",0.296775804177026,132,"HA_APPROVED_AGGREGATE"
"P18","Cold-month indicator (p05 Tmean)","cold_month_mean_temp_le_p05","hf",0.925142655703368,0.792284283565272,1.08028008526231,"0.925 (0.792-1.080)",0.32525782692224,132,"HA_APPROVED_AGGREGATE"
