"term","estimate","std_error_nw6","p_value_nw6","rr","rr_low","rr_high","n_months","residual_acf1","outcome","pathway_id","exposure","scale","scenario","data_status"
"mean_tmax",-0.00999114536746639,0.00600950518067777,0.0964011291478318,0.990058600315448,0.978465475826055,1.00178908328988,132,0.379372913474281,"chd","P02A","mean_tmax",1,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0058463754564676,0.00885340135324042,0.509026940897322,0.994170681340187,0.977067986744829,1.01157274319186,132,0.532271936635351,"chd","P02B","mean_tmin",1,"baseline_ns4","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.00595116323224193,0.0101596085472383,0.558032115132213,0.994066509863794,0.97446761210465,1.0140595888031,132,0.601355803649723,"chd","P02B","mean_tmin",1,"trend_ns3","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.00306422155244592,0.00841367765281836,0.715712203426312,0.996940468382859,0.980634929606874,1.01351712802834,132,0.478815328186716,"chd","P02B","mean_tmin",1,"trend_ns6","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.00533144377053701,0.00795904021359735,0.502946953218999,0.994682743152344,0.97928637378771,1.010321174692,132,0.471030896039523,"chd","P02B","mean_tmin",1,"trend_ns8","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0098149471194887,0.00792047811008931,0.215276552386636,0.990233062275714,0.974979255895479,1.00572551846073,132,0.397679601115104,"chd","P02B","mean_tmin",1,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0100847839894349,0.0100878695654034,0.317458553638481,0.989965896932823,0.970584309090231,1.00973451549885,120,0.524794055020488,"chd","P02B","mean_tmin",1,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.00247224628327051,0.0106079118199848,0.815717277907996,0.997530807200732,0.977004761410271,1.01848808789652,108,0.5043039337133,"chd","P02B","mean_tmin",1,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0184450505052454,0.00532572127134995,0.000533414378955754,0.981724018348483,0.971529675860712,0.992025330928204,84,0.241238058133075,"chd","P02B","mean_tmin",1,"pre_covid","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.00916672821083909,0.00753726544361008,0.223913494518393,0.990875158157513,0.976344514700793,1.00562205683571,132,0.376698799003241,"chd","P02B","mean_tmin",1,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0215894730883367,0.0100701246721816,0.0320398433085943,1.02182421201542,1.00185374479531,1.04219276085479,132,0.507802854196383,"chd","P04A","hot_nights",5,"baseline_ns4","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0108235938112384,0.0107751202399651,0.315138318189256,1.01088238080681,0.989757176838672,1.0324584774314,132,0.594849232513136,"chd","P04A","hot_nights",5,"trend_ns3","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0239093945162084,0.0098985740527955,0.0157162865375618,1.02419751577508,1.00451836654623,1.04426219196617,132,0.443950534468646,"chd","P04A","hot_nights",5,"trend_ns6","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0229506268752667,0.00937536503048944,0.0143662998446061,1.02321601892792,1.00458539229968,1.04219216147866,132,0.437053313475279,"chd","P04A","hot_nights",5,"trend_ns8","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0243489917079017,0.0125178474241146,0.0517578811874392,1.02464784910213,0.999814028051564,1.05009850353438,132,0.373344771674933,"chd","P04A","hot_nights",5,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0194888078109588,0.00999059924310939,0.0510910055561772,1.01967995434598,0.999907237597162,1.03984366769222,120,0.513360164141246,"chd","P04A","hot_nights",5,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0170652642308289,0.0094565821633236,0.0711386881236465,1.01721170769862,0.998531442578056,1.03624143833432,108,0.48808636527526,"chd","P04A","hot_nights",5,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0109223769269301,0.0103097028737213,0.289405387812547,1.0109822438503,0.990758328483629,1.03161898113428,84,0.170878473199337,"chd","P04A","hot_nights",5,"pre_covid","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0131299569971252,0.00968625066940722,0.17525028134345,1.01321653338228,0.994162013344534,1.03263626022636,132,0.379930444744532,"chd","P04A","hot_nights",5,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.0053832471006569,0.0240767422036688,0.823078662594747,0.994631216608471,0.948784429293951,1.04269339431323,132,0.528209530625083,"chd","P04B","cold_days",5,"baseline_ns4","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.0115104220702894,0.0288200234781608,0.689606042806252,0.988555569398595,0.934262652193445,1.04600361739242,132,0.595540613503025,"chd","P04B","cold_days",5,"trend_ns3","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.00148378210594894,0.0242573104577415,0.951225055127704,0.998517318154471,0.952154363688873,1.04713780945312,132,0.475470842632226,"chd","P04B","cold_days",5,"trend_ns6","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.00270040050778046,0.0250168668492819,0.914040753535796,0.997303242293925,0.949581935127961,1.04742278711941,132,0.46696284054371,"chd","P04B","cold_days",5,"trend_ns8","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.00581891400941116,0.0289555831691952,0.84072985091227,0.994197983080589,0.939345561814501,1.05225347278183,132,0.405501163826059,"chd","P04B","cold_days",5,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.00828414469374211,0.0280295952809248,0.767573822421797,1.0083185531697,0.954417700601644,1.06526346276407,120,0.528763998241054,"chd","P04B","cold_days",5,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.0107024921024103,0.0316741527740074,0.73544340410858,0.98935457579517,0.929801802127264,1.05272163853353,108,0.503599510038786,"chd","P04B","cold_days",5,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0357406453630227,0.0149266599453878,0.0166468196658921,1.03638701985241,1.00650546105469,1.0671557149755,84,0.251027237232122,"chd","P04B","cold_days",5,"pre_covid","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",-0.00944326664530695,0.0252424167301936,0.708327603723393,0.990601180976879,0.94278369392822,1.04084394551217,132,0.385607305436567,"chd","P04B","cold_days",5,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.000610023805177367,0.0129450344950274,0.962414276235873,0.999390162221515,0.974352343856856,1.02507137447999,132,0.529343497204704,"chd","P04C","very_hot_days",5,"baseline_ns4","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00681948434762292,0.0137667271232988,0.620346106819686,0.993203715568649,0.966762644191863,1.02036795333974,132,0.600915414854046,"chd","P04C","very_hot_days",5,"trend_ns3","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.0012002085012826,0.0122900746015389,0.922204875441303,0.998800511460877,0.97502832734389,1.02315228564909,132,0.476946349162543,"chd","P04C","very_hot_days",5,"trend_ns6","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00283196719243333,0.0120824306022215,0.814684387486583,0.99717203904392,0.973834866618537,1.02106846811073,132,0.470148728588726,"chd","P04C","very_hot_days",5,"trend_ns8","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",0.00584908556297698,0.0117710093114148,0.619255315646811,1.00586622486406,0.982925359856958,1.02934251535591,132,0.393939813236269,"chd","P04C","very_hot_days",5,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00478323904865291,0.0135392281789851,0.723872972518317,0.995228182421448,0.969165268138819,1.0219919838729,120,0.534859336037887,"chd","P04C","very_hot_days",5,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.0073648322193437,0.0136671917992876,0.589976933673559,0.992662221700863,0.96642408652097,1.01961271468239,108,0.508717108042056,"chd","P04C","very_hot_days",5,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00309873262665906,0.00774756207960163,0.689184296164354,0.996906063490047,0.981882183099337,1.01215982582167,84,0.198425065949514,"chd","P04C","very_hot_days",5,"pre_covid","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00695383545775191,0.0102983552653011,0.499524897814802,0.99307028651025,0.973226331542536,1.01331885707045,132,0.387128346016076,"chd","P04C","very_hot_days",5,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0260055379373725,0.0143091440302916,0.0691548229807702,0.974329693816984,0.947383352675751,1.00204246736264,132,0.138707978681168,"hf","P01A","mean_temp",1,"baseline_ns4","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0259823817904121,0.0143236064252181,0.0696846078682869,0.974352255799785,0.947378435629555,1.00209407632469,132,0.241135036554403,"hf","P01A","mean_temp",1,"trend_ns3","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0256705903551537,0.0143300413690919,0.0732318790366535,0.974656097853282,0.947661913713917,1.00241921231137,132,0.135797878748551,"hf","P01A","mean_temp",1,"trend_ns6","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0253809251975033,0.0136147237400896,0.0622899404436369,0.97493846265917,0.94926641850492,1.00130478382376,132,0.0936618851987977,"hf","P01A","mean_temp",1,"trend_ns8","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0316560914017611,0.0120556339215031,0.00864370030756589,0.968839717100941,0.946215311434998,0.992005081812413,132,0.00123039027773538,"hf","P01A","mean_temp",1,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0221012121391263,0.0145034208701085,0.127543184210955,0.978141230274768,0.950727386803042,1.0063455409449,120,0.202665179253421,"hf","P01A","mean_temp",1,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0151585096278241,0.0156490572067534,0.332718241054222,0.984955802251115,0.955203701016244,1.01563460375625,108,0.193311831677165,"hf","P01A","mean_temp",1,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0569944180288408,0.00963366510379213,3.29520978477752e-09,0.944599342078092,0.926930766609267,0.962604704899697,84,-0.101694895589989,"hf","P01A","mean_temp",1,"pre_covid","HA_APPROVED_AGGREGATE"
"mean_temp",-0.0335459470727979,0.012352315542457,0.00661234675016927,0.967010478909772,0.943879767829098,0.990708031036661,132,-0.0710788527750468,"hf","P01A","mean_temp",1,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0190464892509477,0.0120339574864901,0.113483325974114,0.981133749009481,0.958262964057423,1.0045503891432,132,0.149508795362469,"hf","P02A","mean_tmax",1,"baseline_ns4","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0192354906377913,0.0119622623896825,0.107832016630295,0.980948330892931,0.95821650955601,1.00421942043922,132,0.249074061402834,"hf","P02A","mean_tmax",1,"trend_ns3","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.018556010940406,0.0120740827313233,0.124330920466167,0.981615091867577,0.958657689481301,1.00512226538708,132,0.146612578241492,"hf","P02A","mean_tmax",1,"trend_ns6","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0194453690709157,0.0116385337258062,0.0947661642300223,0.980742472597631,0.958623483191503,1.00337182890059,132,0.100261345856183,"hf","P02A","mean_tmax",1,"trend_ns8","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0233437136461083,0.00998364542015066,0.019377114815759,0.976926643041602,0.957996016971603,0.996231350628699,132,0.0234682198816935,"hf","P02A","mean_tmax",1,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0143652635810172,0.011425624901645,0.208650555728204,0.98573742451593,0.96390793852414,1.00806127977227,120,0.21370610116206,"hf","P02A","mean_tmax",1,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.00984282089629247,0.0125544500094822,0.433033936743509,0.990205461125028,0.966137086917894,1.01487342585075,108,0.194931295633861,"hf","P02A","mean_tmax",1,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.0431863879283617,0.0102717111273452,2.61775002575629e-05,0.957732863585589,0.938644053177178,0.977209875124744,84,-0.0290724890323088,"hf","P02A","mean_tmax",1,"pre_covid","HA_APPROVED_AGGREGATE"
"mean_tmax",-0.024444047312964,0.0104171314296877,0.0189494535806789,0.975852288948601,0.956129777218745,0.995981625649504,132,-0.034543364346949,"hf","P02A","mean_tmax",1,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0272732218931944,0.0139402471348886,0.0504136413025569,0.973095334250664,0.946867504573631,1.00004966372439,132,0.130574062827549,"hf","P02B","mean_tmin",1,"baseline_ns4","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0270214419292961,0.0140688439494987,0.0547747997764036,0.973340371005169,0.94686724911569,1.0005536454168,132,0.23554091285108,"hf","P02B","mean_tmin",1,"trend_ns3","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0270647008363032,0.0139723228898306,0.0527426191026961,0.973298266275283,0.947005428310174,1.00032110357048,132,0.127660098301632,"hf","P02B","mean_tmin",1,"trend_ns6","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.026400856731083,0.0132830743072592,0.0468607942223549,0.973944599100352,0.948915351076437,0.999634035892351,132,0.0871481140660417,"hf","P02B","mean_tmin",1,"trend_ns8","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0317843801804912,0.0122505106446911,0.00947189343992109,0.968715433809096,0.945732630916858,0.992256755263045,132,-0.00494946052912409,"hf","P02B","mean_tmin",1,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0243513502029462,0.0143520774933389,0.0897510161588017,0.97594275182835,0.948871948949829,1.00378587005384,120,0.194304674410503,"hf","P02B","mean_tmin",1,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0173643666168678,0.0154224825753477,0.260202538523374,0.982785525151286,0.953522332639959,1.0129467925232,108,0.190835177277316,"hf","P02B","mean_tmin",1,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0577876015829525,0.00931451745651568,5.50331896360154e-10,0.943850398478869,0.926775375831481,0.961240013427706,84,-0.136886833707389,"hf","P02B","mean_tmin",1,"pre_covid","HA_APPROVED_AGGREGATE"
"mean_tmin",-0.0343399555401642,0.0122932008231965,0.00521554688211819,0.966242969146434,0.943239898774828,0.989807022198278,132,-0.0873813314045103,"hf","P02B","mean_tmin",1,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.00310452698616816,0.0140199326407834,0.824752454236862,1.0031093510209,0.975920119210477,1.03105607754004,132,0.174063914701548,"hf","P04A","hot_nights",5,"baseline_ns4","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",-0.00690769899303114,0.0159733839743291,0.665413971100482,0.993116104319417,0.962505468206609,1.02470025286845,132,0.273144593758009,"hf","P04A","hot_nights",5,"trend_ns3","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.00395122808669007,0.0140873233787658,0.77910841674393,1.00395904447978,0.976617775862779,1.03206575581968,132,0.168106635278859,"hf","P04A","hot_nights",5,"trend_ns6","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.0024786898828975,0.0126648407877926,0.844833826098429,1.00248176437438,0.977903389018784,1.02767788637233,132,0.129944789485809,"hf","P04A","hot_nights",5,"trend_ns8","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.00358932444135938,0.011103717976872,0.74650267048389,1.00359577378028,0.981990187742366,1.0256767223563,132,0.0829678552742337,"hf","P04A","hot_nights",5,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.00691488165119096,0.0154897262436551,0.655295843912376,1.00693884464723,0.976827716506424,1.03797816106791,120,0.22352441604932,"hf","P04A","hot_nights",5,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",0.00344351677976236,0.0153565692574521,0.822572602779244,1.00344945249496,0.973696759563518,1.03411128138477,108,0.193473488648783,"hf","P04A","hot_nights",5,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",-0.0352916104568337,0.0150274782098424,0.0188506209972053,0.965323876672949,0.93730600762633,0.994179253405986,84,0.0823646360237206,"hf","P04A","hot_nights",5,"pre_covid","HA_APPROVED_AGGREGATE"
"I(hot_nights/5)",-0.00631159416276872,0.0114641949386598,0.581943290571955,0.993708282108698,0.971628823535741,1.016289478052,132,0.0399765254111716,"hf","P04A","hot_nights",5,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0702721921354338,0.0325707214528985,0.0309646706542344,1.07280014928024,1.00645431800469,1.14351952165835,132,0.145538027685022,"hf","P04B","cold_days",5,"baseline_ns4","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0643553774749446,0.0301486937224564,0.032793762930022,1.06647133131429,1.0052778166412,1.13138983242999,132,0.256379307681565,"hf","P04B","cold_days",5,"trend_ns3","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0695455440728215,0.0327659039667087,0.0337959956766121,1.07202088429018,1.0053385719585,1.14312611532998,132,0.141808025451058,"hf","P04B","cold_days",5,"trend_ns6","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0603963617547432,0.0336829328718151,0.0729593334183776,1.06225750136188,0.994393588240467,1.13475289115271,132,0.113436136704067,"hf","P04B","cold_days",5,"trend_ns8","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0588277224186799,0.0317546355828936,0.0639438477755118,1.06059250868813,0.996594448765144,1.12870031624114,132,0.0465845973057844,"hf","P04B","cold_days",5,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0645484316559445,0.0354335121691086,0.068503934791973,1.06667723793865,0.995110739341851,1.14339066493137,120,0.217695454268612,"hf","P04B","cold_days",5,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0419985390159469,0.0395345764990215,0.288088512760822,1.04289295509967,0.965133127767839,1.12691781527797,108,0.20385448201434,"hf","P04B","cold_days",5,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.106907120519258,0.0281777687184019,0.000148225555054209,1.11283089052394,1.05303734075742,1.17601963669547,84,-0.0464858146245072,"hf","P04B","cold_days",5,"pre_covid","HA_APPROVED_AGGREGATE"
"I(cold_days/5)",0.0711012927945754,0.0329899266077983,0.0311428606151051,1.07368997741871,1.00646182472812,1.14540873710815,132,-0.0212592264143022,"hf","P04B","cold_days",5,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00500131468831582,0.0166662705174907,0.76411154706375,0.995011171062262,0.963033380355518,1.02805079318559,132,0.17900373209176,"hf","P04C","very_hot_days",5,"baseline_ns4","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.0107714706528068,0.0174547857510072,0.53716414496046,0.989286333904344,0.956013876637604,1.02371678316223,132,0.273025321313447,"hf","P04C","very_hot_days",5,"trend_ns3","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00488346458300109,0.0165268316956515,0.767621850968221,0.995128440143512,0.96341014473204,1.02789099512533,132,0.173848846107231,"hf","P04C","very_hot_days",5,"trend_ns6","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00731004076778665,0.0156392432740658,0.64020190090108,0.99271661259496,0.962748602764022,1.02361745329228,132,0.134476671085133,"hf","P04C","very_hot_days",5,"trend_ns8","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00275910667879785,0.0136169957271706,0.839430276717593,0.997244696157753,0.970980961194197,1.02421882998782,132,0.0886780496040773,"hf","P04C","very_hot_days",5,"year_fixed_effects","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00467771624453907,0.0167700592597909,0.78029654923681,0.995333207231149,0.963149117447028,1.02859274381418,120,0.231347631866986,"hf","P04C","very_hot_days",5,"drop_first_12_months","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.0116498119597592,0.0164064138078581,0.477656582382078,0.988417784350187,0.957139257943346,1.02071846736179,108,0.201780338081593,"hf","P04C","very_hot_days",5,"drop_first_24_months","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.00972860140517296,0.0156166171778381,0.533307712039145,0.990318568348303,0.960465543352706,1.0210994799376,84,0.0765972410272701,"hf","P04C","very_hot_days",5,"pre_covid","HA_APPROVED_AGGREGATE"
"I(very_hot_days/5)",-0.0102616855584476,0.0140345384718806,0.464673056317995,0.989790785901551,0.962934986425194,1.01739558087156,132,0.0380169277104372,"hf","P04C","very_hot_days",5,"covid_phase_adjusted","HA_APPROVED_AGGREGATE"
