"year","sex","age_group","population"
2020,"Female","55-59",295087.794428258
2021,"Female","55-59",297688.560319398
2022,"Female","55-59",298680.151160673
2023,"Female","55-59",300355.202300885
2024,"Female","55-59",301588.712590905
2012,"Male","55-59",263207.064815472
2013,"Male","55-59",264119.778137636
2014,"Male","55-59",266223.43195392
2015,"Male","55-59",266115.67219592
2016,"Male","55-59",268091.702004116
2017,"Male","55-59",268791.056102744
2018,"Male","55-59",271946.818948774
2019,"Male","55-59",271710.128544855
2020,"Male","55-59",273316.458394532
2021,"Male","55-59",274657.04403332
2022,"Male","55-59",275953.653267941
2023,"Male","55-59",277922.81124186
2024,"Male","55-59",278784.271647912
2012,"Female","60-64",246701.068201902
2013,"Female","60-64",249603.270108826
2014,"Female","60-64",251916.573838184
2015,"Female","60-64",255949.11830567
2016,"Female","60-64",258549.136031001
2017,"Female","60-64",262364.660462845
2018,"Female","60-64",264751.223486766
2019,"Female","60-64",266697.338789594
2020,"Female","60-64",271216.516871659
2021,"Female","60-64",274128.218035249
2022,"Female","60-64",277358.488635147
2023,"Female","60-64",279104.742298586
2024,"Female","60-64",282159.833670101
2012,"Male","60-64",227572.275693436
2013,"Male","60-64",229491.740808013
2014,"Male","60-64",232991.161088226
2015,"Male","60-64",235464.845519522
2016,"Male","60-64",239401.192282693
2017,"Male","60-64",241425.916734776
2018,"Male","60-64",245117.259313665
2019,"Male","60-64",247104.33783218
2020,"Male","60-64",249508.496718153
2021,"Male","60-64",253276.96045622
2022,"Male","60-64",255589.494819067
2023,"Male","60-64",258246.508879114
2024,"Male","60-64",261410.051844111
2012,"Female","65-69",180591.476760455
2013,"Female","65-69",187643.593493438
2014,"Female","65-69",194002.660715437
2015,"Female","65-69",200732.773263931
2016,"Female","65-69",206859.054436267
2017,"Female","65-69",213290.853830735
2018,"Female","65-69",219717.705805701
2019,"Female","65-69",226385.708588725
2020,"Female","65-69",232577.492071253
2021,"Female","65-69",240150.783984069
2022,"Female","65-69",245129.804057348
2023,"Female","65-69",252760.348476962
2024,"Female","65-69",259723.68420751
2012,"Male","65-69",166858.094587113
2013,"Male","65-69",172773.613283639
2014,"Male","65-69",178809.215809126
2015,"Male","65-69",184281.521630531
2016,"Male","65-69",190650.689232595
2017,"Male","65-69",196734.212624063
2018,"Male","65-69",203491.499756642
2019,"Male","65-69",208790.083013365
2020,"Male","65-69",214887.029371786
2021,"Male","65-69",221199.137339089
2022,"Male","65-69",227482.531384948
2023,"Male","65-69",232807.932372937
2024,"Male","65-69",240075.595466579
2012,"Female","70-74",124152.523993217
2013,"Female","70-74",130161.993494487
2014,"Female","70-74",136185.11760408
2015,"Female","70-74",140915.391723221
2016,"Female","70-74",147364.815997882
2017,"Female","70-74",153604.61978638
2018,"Female","70-74",158918.289624444
2019,"Female","70-74",165111.639458457
2020,"Female","70-74",170643.953324439
2021,"Female","70-74",176580.639309034
2022,"Female","70-74",183321.778709059
2023,"Female","70-74",188675.971188237
2024,"Female","70-74",194724.170950186
2012,"Male","70-74",114580.089217176
2013,"Male","70-74",119676.819140074
2014,"Male","70-74",124808.777726095
2015,"Male","70-74",130790.133293183
2016,"Male","70-74",136003.556876693
2017,"Male","70-74",141496.779421904
2018,"Male","70-74",147060.935165885
2019,"Male","70-74",152483.931480756
2020,"Male","70-74",158181.098539805
2021,"Male","70-74",163297.064153416
2022,"Male","70-74",168565.701611475
2023,"Male","70-74",174119.444681476
2024,"Male","70-74",178897.310087138
2012,"Female","75-79",91075.2822743095
2013,"Female","75-79",93343.0059059237
2014,"Female","75-79",96355.1875935131
2015,"Female","75-79",99474.053234007
2016,"Female","75-79",102108.171209635
2017,"Female","75-79",104869.43252976
2018,"Female","75-79",107623.905849802
2019,"Female","75-79",110210.129539666
2020,"Female","75-79",113184.322136442
2021,"Female","75-79",115809.252137482
2022,"Female","75-79",118677.631061568
2023,"Female","75-79",121491.688368898
2024,"Female","75-79",124428.199306637
2012,"Male","75-79",83796.1978867708
2013,"Male","75-79",86100.0863296732
2014,"Male","75-79",88934.7228642563
2015,"Male","75-79",91755.2682622511
2016,"Male","75-79",94285.8029569913
2017,"Male","75-79",96368.8499868226
2018,"Male","75-79",99708.2484658782
2019,"Male","75-79",101751.271001351
2020,"Male","75-79",104832.583888094
2021,"Male","75-79",106966.178254822
2022,"Male","75-79",109609.810940996
2023,"Male","75-79",112468.84866226
2024,"Male","75-79",115009.053886371
2012,"Female","80-84",60676.8824123786
2013,"Female","80-84",62361.3868378107
2014,"Female","80-84",64412.3738016054
2015,"Female","80-84",65822.9924930977
2016,"Female","80-84",67463.6758177258
2017,"Female","80-84",69467.240062197
2018,"Female","80-84",71385.3166107141
2019,"Female","80-84",72746.7843306653
2020,"Female","80-84",74877.2053522109
2021,"Female","80-84",76638.4611075268
2022,"Female","80-84",78099.1778529418
2023,"Female","80-84",79711.5621434147
2024,"Female","80-84",81663.7238611247
2012,"Male","80-84",56026.5071246376
2013,"Male","80-84",57915.3864990209
2014,"Male","80-84",59261.3938647965
2015,"Male","80-84",60812.0479735731
2016,"Male","80-84",62517.3917934333
2017,"Male","80-84",63986.6987703576
2018,"Male","80-84",65573.0579595916
2019,"Male","80-84",67157.753431875
2020,"Male","80-84",68852.178073827
2021,"Male","80-84",70587.9867772617
2022,"Male","80-84",72029.7993874001
2023,"Male","80-84",73807.8663684409
2024,"Male","80-84",75173.2665505345
2012,"Female","85+",54725.3599269209
2013,"Female","85+",57214.4415132288
2014,"Female","85+",59420.4157146139
2015,"Female","85+",61711.8901189017
2016,"Female","85+",64134.3440660317
2017,"Female","85+",66430.9966127498
2018,"Female","85+",68611.9805886554
2019,"Female","85+",70838.0376913012
2020,"Female","85+",73544.7680936659
2021,"Female","85+",75484.0845581029
2022,"Female","85+",77899.9260652594
2023,"Female","85+",80111.4176885149
2024,"Female","85+",82396.8357970071
2012,"Male","85+",50711.4318659349
2013,"Male","85+",52832.0548338183
2014,"Male","85+",54811.1511634191
2015,"Male","85+",57182.1017416208
2016,"Male","85+",59279.9791306069
2017,"Male","85+",61348.743399617
2018,"Male","85+",63354.5457450786
2019,"Male","85+",65410.2525425168
2020,"Male","85+",67822.6211966837
2021,"Male","85+",70056.7536053441
2022,"Male","85+",72004.1905141576
2023,"Male","85+",74105.5266836837
2024,"Male","85+",76092.3064782851
