"definition_id","source_doi","event_id","start_date","end_date","event_days","component_windows","data_status","result_class"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",25,2022-07-08,2022-07-16,9,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",26,2022-07-19,2022-07-29,11,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",27,2022-09-12,2022-09-18,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",28,2023-07-07,2023-07-16,10,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",29,2023-07-22,2023-07-28,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",30,2023-08-02,2023-08-06,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_vhd5","10.1016/j.scitotenv.2019.07.039",31,2023-09-21,2023-10-01,11,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",24,2013-06-25,2013-06-29,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",25,2014-05-31,2014-06-05,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",26,2015-06-16,2015-06-20,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",27,2015-06-29,2015-07-05,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",28,2015-07-12,2015-07-16,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",29,2016-05-30,2016-06-03,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",30,2016-06-20,2016-06-27,8,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",31,2017-06-02,2017-06-06,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",32,2017-07-27,2017-08-01,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",33,2017-08-11,2017-08-16,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",34,2017-08-18,2017-08-22,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",35,2019-07-12,2019-07-18,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",36,2019-07-24,2019-07-28,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",37,2019-08-09,2019-08-13,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",38,2019-09-08,2019-09-14,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",39,2020-06-19,2020-07-01,13,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",40,2020-07-05,2020-07-15,11,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",41,2020-07-23,2020-07-27,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",42,2020-08-30,2020-09-04,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",43,2021-05-16,2021-05-21,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",44,2021-06-29,2021-07-05,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",45,2021-07-08,2021-07-16,9,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",46,2022-07-09,2022-07-29,21,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",47,2022-09-12,2022-09-17,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",48,2023-07-05,2023-07-15,11,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",49,2023-07-22,2023-07-28,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_hn5","10.1016/j.scitotenv.2019.07.039",50,2023-08-04,2023-08-09,6,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",22,2014-07-03,2014-07-05,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",23,2015-06-16,2015-06-20,5,3,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",24,2015-07-12,2015-07-16,5,3,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",25,2016-06-20,2016-06-27,8,6,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",26,2016-07-15,2016-07-18,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",27,2017-07-28,2017-07-31,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",28,2017-08-18,2017-08-22,5,3,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",29,2018-05-29,2018-05-31,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",30,2018-08-05,2018-08-07,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",31,2019-06-06,2019-06-08,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",32,2019-07-15,2019-07-18,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",33,2019-07-26,2019-07-28,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",34,2019-08-09,2019-08-11,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",35,2019-09-08,2019-09-14,7,5,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",36,2020-06-28,2020-07-01,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",37,2020-07-11,2020-07-15,5,3,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",38,2020-07-23,2020-07-27,5,3,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",39,2020-08-31,2020-09-04,5,3,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",40,2021-05-16,2021-05-21,6,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",41,2021-05-27,2021-05-29,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",42,2021-07-03,2021-07-05,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",43,2021-07-09,2021-07-16,8,6,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",44,2021-07-26,2021-07-29,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",45,2021-09-10,2021-09-13,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",46,2022-07-09,2022-07-17,9,7,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",47,2022-07-19,2022-07-29,11,9,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",48,2022-07-31,2022-08-02,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",49,2022-09-12,2022-09-17,6,4,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",50,2023-07-07,2023-07-15,9,7,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",51,2023-07-22,2023-07-28,7,5,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",52,2023-08-04,2023-08-07,4,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",53,2023-09-22,2023-09-24,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"wang_2d3n","10.1016/j.scitotenv.2019.07.039",54,2023-09-26,2023-09-28,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",20,2013-06-19,2013-06-21,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",21,2014-05-31,2014-06-02,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",22,2014-09-28,2014-09-30,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",23,2015-06-14,2015-06-20,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",24,2015-07-12,2015-07-14,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",25,2016-06-19,2016-06-27,9,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",26,2016-07-07,2016-07-09,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",27,2016-08-23,2016-08-26,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",28,2017-06-05,2017-06-07,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",29,2017-07-28,2017-07-30,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",30,2017-08-18,2017-08-22,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",31,2017-09-26,2017-09-29,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",32,2018-05-14,2018-06-02,20,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",33,2018-08-06,2018-08-09,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",34,2019-05-18,2019-05-20,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",35,2019-08-07,2019-08-09,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",36,2019-08-12,2019-08-14,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",37,2019-09-09,2019-09-13,5,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",38,2020-05-08,2020-05-11,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",39,2020-06-11,2020-06-13,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",40,2020-07-23,2020-07-30,8,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",41,2020-08-06,2020-08-09,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",42,2020-08-23,2020-08-25,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",43,2020-08-31,2020-09-03,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",44,2021-05-12,2021-05-23,12,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",45,2021-05-26,2021-05-29,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",46,2021-07-09,2021-07-15,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",47,2021-07-26,2021-07-28,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",48,2021-09-07,2021-09-13,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",49,2022-06-26,2022-06-29,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",50,2022-07-10,2022-07-13,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",51,2022-07-19,2022-08-02,15,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",52,2022-09-03,2022-09-06,4,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",53,2022-09-12,2022-09-18,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",54,2023-05-20,2023-05-22,3,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",55,2023-07-09,2023-07-15,7,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",56,2023-07-22,2023-07-28,7,2,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
"li_hw","10.1016/j.atmosres.2024.107845",57,2023-09-19,2023-09-30,12,1,"REAL_PUBLIC_HKO","EXPOSURE_AUDIT"
