"scenario_id","cell_class","scale","outcome","effect","kernel","serial_dependence","depletion","covid_shock","overdispersion","exposure_col","data_status","n_reps_planned","design_version"
"CORE_32","core","hf_like","hf","moderate","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_33","core","hf_like","hf","moderate","cumulative_0_5","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_34","core","hf_like","hf","moderate","cumulative_0_5","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_35","core","hf_like","hf","moderate","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"CORE_36","core","hf_like","hf","moderate","cumulative_0_21","outcome_matched","outcome_matched","observed_pattern","outcome_matched","cold_day","SYNTHETIC_CALIBRATION",500,"F1.1"
"EDGE_depletion_off","edge","chd_like","chd","null","same_day","none","none","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"EDGE_covid_off","edge","chd_like","chd","null","same_day","none","outcome_matched","none","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"EDGE_od_off","edge","chd_like","chd","null","same_day","none","outcome_matched","observed_pattern","none","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"EDGE_od_high","edge","chd_like","chd","null","same_day","none","outcome_matched","observed_pattern","high","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"EDGE_stress_AR_dep_covid_mod","edge","chd_like","chd","moderate","same_day","outcome_matched","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
"EDGE_small_lag21","edge","chd_like","chd","small","cumulative_0_21","none","outcome_matched","observed_pattern","outcome_matched","hot_night","SYNTHETIC_CALIBRATION",500,"F1.1"
