"month_id","age_group","sex","stroke_type","n_events","data_status","notes"
"2021-10","all","all","stroke_all",8972,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-11","all","all","stroke_all",10755,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2021-12","all","all","stroke_all",11782,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-01","all","all","stroke_all",12266,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-02","all","all","stroke_all",14905,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-03","all","all","stroke_all",8142,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-04","all","all","stroke_all",11024,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-05","all","all","stroke_all",16290,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-06","all","all","stroke_all",11388,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-07","all","all","stroke_all",12451,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-08","all","all","stroke_all",12690,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-09","all","all","stroke_all",9353,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-10","all","all","stroke_all",10405,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-11","all","all","stroke_all",9227,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2022-12","all","all","stroke_all",18243,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-01","all","all","stroke_all",10572,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-02","all","all","stroke_all",18331,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-03","all","all","stroke_all",14522,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-04","all","all","stroke_all",14882,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-05","all","all","stroke_all",12473,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-06","all","all","stroke_all",13698,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-07","all","all","stroke_all",14637,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-08","all","all","stroke_all",10310,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-09","all","all","stroke_all",10298,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-10","all","all","stroke_all",10863,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-11","all","all","stroke_all",15302,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
"2023-12","all","all","stroke_all",13045,"SYNTHETIC","SYNTHETIC territory-month stroke aggregates for pathway dry-run only"
